episode,reward,agent
295,-1,Q-Learning
296,-2,CFR
296,1,Q-Learning
297,2,CFR
297,-1,Q-Learning
298,-1,CFR
298,-1,Q-Learning
299,-1,CFR
299,-1,Q-Learning
300,-1,CFR
300,2,Q-Learning
301,1,CFR
301,1,Q-Learning
302,2,CFR
302,-1,Q-Learning
303,-1,CFR
303,-1,Q-Learning
304,-1,CFR
304,1,Q-Learning
305,1,CFR
305,1,Q-Learning
306,1,CFR
306,1,Q-Learning
307,1,CFR
307,1,Q-Learning
308,-2,CFR
308,-1,Q-Learning
309,-1,CFR
309,1,Q-Learning
310,-1,CFR
310,1,Q-Learning
311,1,CFR
311,-1,Q-Learning
312,-1,CFR
312,1,Q-Learning
313,1,CFR
313,1,Q-Learning
314,-2,CFR
314,1,Q-Learning
315,-1,CFR
315,2,Q-Learning
316,1,CFR
316,-1,Q-Learning
317,-1,CFR
317,1,Q-Learning
318,1,CFR
318,-1,Q-Learning
319,2,CFR
319,1,Q-Learning
320,1,CFR
320,1,Q-Learning
321,1,CFR
321,-1,Q-Learning
322,-1,CFR
322,-1,Q-Learning
323,1,CFR
323,1,Q-Learning
324,-1,CFR
324,2,Q-Learning
325,1,CFR
325,2,Q-Learning
326,-1,CFR
326,-1,Q-Learning
327,-1,CFR
327,-1,Q-Learning
328,1,CFR
328,-1,Q-Learning
329,1,CFR
329,-1,Q-Learning
330,-1,CFR
330,-1,Q-Learning
331,2,CFR
331,-1,Q-Learning
332,1,CFR
332,-1,Q-Learning
333,-2,CFR
333,-1,Q-Learning
334,-1,CFR
334,-1,Q-Learning
335,1,CFR
335,1,Q-Learning
336,-2,CFR
336,1,Q-Learning
337,-2,CFR
337,1,Q-Learning
338,-2,CFR
338,-1,Q-Learning
339,-1,CFR
339,1,Q-Learning
340,1,CFR
340,1,Q-Learning
341,-1,CFR
341,1,Q-Learning
342,2,CFR
342,1,Q-Learning
343,-2,CFR
343,-1,Q-Learning
344,-1,CFR
344,1,Q-Learning
345,1,CFR
345,-1,Q-Learning
346,1,CFR
346,1,Q-Learning
347,1,CFR
347,2,Q-Learning
348,1,CFR
348,1,Q-Learning
349,1,CFR
349,-1,Q-Learning
350,1,CFR
350,-1,Q-Learning
351,1,CFR
351,-1,Q-Learning
352,2,CFR
352,1,Q-Learning
353,-2,CFR
353,-1,Q-Learning
354,-1,CFR
354,1,Q-Learning
355,1,CFR
355,1,Q-Learning
356,1,CFR
356,1,Q-Learning
357,-1,CFR
357,1,Q-Learning
358,-2,CFR
358,1,Q-Learning
359,-1,CFR
359,1,Q-Learning
360,-1,CFR
360,1,Q-Learning
361,-2,CFR
361,1,Q-Learning
362,-1,CFR
362,-1,Q-Learning
363,1,CFR
363,-1,Q-Learning
364,-1,CFR
364,1,Q-Learning
365,-1,CFR
365,-1,Q-Learning
366,-1,CFR
366,1,Q-Learning
367,1,CFR
367,1,Q-Learning
368,-1,CFR
368,-1,Q-Learning
369,1,CFR
369,1,Q-Learning
370,1,CFR
370,-1,Q-Learning
371,1,CFR
371,-1,Q-Learning
372,1,CFR
372,2,Q-Learning
373,-1,CFR
373,2,Q-Learning
374,-2,CFR
374,-1,Q-Learning
375,1,CFR
375,-1,Q-Learning
376,-1,CFR
376,1,Q-Learning
377,1,CFR
377,-1,Q-Learning
378,-2,CFR
378,1,Q-Learning
379,-1,CFR
379,-1,Q-Learning
380,-1,CFR
380,1,Q-Learning
381,1,CFR
381,1,Q-Learning
382,1,CFR
382,-1,Q-Learning
383,-1,CFR
383,1,Q-Learning
384,-1,CFR
384,-1,Q-Learning
385,1,CFR
385,1,Q-Learning
386,-1,CFR
386,-1,Q-Learning
387,1,CFR
387,-1,Q-Learning
388,-2,CFR
388,1,Q-Learning
389,-1,CFR
389,1,Q-Learning
390,-1,CFR
390,-2,Q-Learning
391,1,CFR
391,-1,Q-Learning
392,-1,CFR
392,1,Q-Learning
393,-1,CFR
393,1,Q-Learning
394,1,CFR
394,1,Q-Learning
395,-1,CFR
395,-1,Q-Learning
396,1,CFR
396,1,Q-Learning
397,-1,CFR
397,1,Q-Learning
398,1,CFR
398,1,Q-Learning
